Date,Property ID,Property,App ID,App name,Platform,Delivery method,Display format,Bidding requests,Bidding responses,Bid rate,Win rate,Requests,Filled requests,Fill rate,Impressions,Impression rate,Clicks,CTR,Effective CPM,Revenue
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,14,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1913090,136228,0.071208359251264,0.09495845200693,12936,9987,0.77203153988868,1949,0.19515369980975,142,0.072857875833761,13.716852136532,26.7341448141
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,14,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-07,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15520615,2182862,0.140642751592,0.43451532895804,948487,948487,1,913906,0.96354088142484,2533,0.0027716198383641,0.10756353773222,98.3029625147
2026-01-07,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5132201,674523,0.13142957573174,0.31486546789361,212384,211625,0.99642628446587,122769,0.5801252215003,23250,0.18938005522567,4.4728591862946,549.1284494422
2026-01-07,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2309935,449263,0.19449161989407,0.305084104411,137063,135546,0.98893209691894,46224,0.34102076047984,19576,0.42350294219453,9.623366489566,444.8304926137
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8304892,208916,0.025155775656083,0.18348044190009,38332,38332,1,35161,0.9172753834916,11,0.00031284661983448,0.083127675393191,2.9228521945
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,9,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3287905,126374,0.038436025371779,0.061713643629228,7799,6777,0.86895755866137,1844,0.27209679799321,84,0.045553145336226,13.359511920499,24.6349399814
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,33,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1908140,131067,0.068688356200279,0.10161215256319,13318,11327,0.85050307854032,2022,0.17851152114417,107,0.052917903066271,15.51521378363,31.3717622705
2026-01-07,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,14,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-06,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,16113714,2485854,0.1542694626453,0.45399166644541,1128557,1128556,0.99999911391272,1084982,0.96138959874388,2699,0.002487598872608,0.1038960304641,112.725322925
2026-01-06,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5251020,700179,0.13334152221854,0.32432849314247,227088,226140,0.99582540689072,130678,0.57786327054037,24338,0.18624405026095,4.5854643233566,599.2193068476
2026-01-06,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2352776,452949,0.19251683968215,0.30717586306626,139135,137702,0.98970065044741,46923,0.3407575779582,18592,0.39622360036656,10.020719591559,470.2022253947
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8468228,224703,0.026534831135865,0.164986671295,37073,37073,1,34436,0.92887006716478,9,0.00026135439656174,0.090395876838193,3.1128724148
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,1,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3353659,109440,0.032633013672529,0.076388888888889,8360,7971,0.95346889952153,2159,0.27085685610337,64,0.029643353404354,16.9205172805,36.5313968086
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,20,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1949656,123096,0.063137291912009,0.09917462793267,12208,11460,0.93872870249017,2404,0.20977312390925,139,0.057820299500832,18.464032505075,44.3875341422
2026-01-06,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,13,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-05,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,16221359,2515307,0.15506142241227,0.46199171711445,1162051,1162051,1,1117678,0.9618149289489,2803,0.0025078779398002,0.10239338107603,114.4428293743
2026-01-05,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5259531,683244,0.12990587944058,0.30208095497363,206395,205195,0.99418590566632,118101,0.57555495991618,22079,0.18695015283529,4.8402659329015,571.6402469416
2026-01-05,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2364027,420772,0.17798950688803,0.32286131206449,135851,134095,0.98707407380144,43544,0.32472500838957,19462,0.44695021128054,10.263399801153,446.9094809414
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8570257,225919,0.02636081975138,0.17909073606027,40460,40460,1,36602,0.90464656450816,6,0.00016392546855363,0.12750351529971,4.666883667
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,2,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3364962,128846,0.038290476980126,0.0622758952548,8024,7283,0.90765204386839,1903,0.26129342303996,95,0.049921177088807,15.939648749028,30.3331515694
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,29,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1963512,138441,0.070506826543459,0.091222975852529,12629,10875,0.86111331063425,2258,0.20763218390805,125,0.055358724534987,14.482366753366,32.7011841291
2026-01-05,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,19,0,0,0,0,0,0,0,0,0,0,0,Not available
