event_date,ad_format,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate,impression_show_rate_dod,impression_plus_failed_show_rate_dod
2025-11-25,interstitial,915605,795233,16114,0.8685328280208169,0.8861321202920474,0.0030579746441318223,0.0019167563591279135
2025-11-25,rewarded,295686,269149,2771,0.9102527681391747,0.9196241959375825,0.0024635164920773223,0.0013415827434486438
2025-11-26,interstitial,916115,795613,15252,0.8684641120383358,0.8851126769019173,-6.871598248103794e-05,-0.0010194433901300481
2025-11-26,rewarded,298160,271059,2694,0.9091058492084787,0.9181412664341293,-0.0011469189306959615,-0.0014829295034531897
2025-11-27,interstitial,917249,796492,15730,0.8683487253733719,0.8854978310142612,-0.00011538666496391237,0.0003851541123438551
2025-11-27,rewarded,298663,271561,2829,0.9092555823788016,0.9187277968814349,0.00014973317032285216,0.000586530447305611
2025-11-28,interstitial,910456,791148,16010,0.8689579727081814,0.8865425676803712,0.0006092473348094929,0.0010447366661100466
2025-11-28,rewarded,298103,270903,2544,0.9087563694427765,0.9172903325360697,-0.0004992129360250619,-0.0014374643453651803
2025-11-29,interstitial,923359,801891,15829,0.8684498661950553,0.8855927109607422,-0.0005081065131261608,-0.0009498567196289942
2025-11-29,rewarded,301217,273818,2682,0.9090389984629021,0.9179428783899979,0.0002826290201256576,0.0006525458539281548
2025-11-30,interstitial,977074,846155,15377,0.866009125204437,0.8817469301199296,-0.0024407409906183064,-0.0038457808408126626
2025-11-30,rewarded,318205,288630,3047,0.9070567715780707,0.9166323596423689,-0.001982226884831406,-0.001310518747628997
2025-12-01,interstitial,969415,841501,13042,0.8680503190068237,0.8815037935249609,0.002041193802386765,-0.00024313659496866258
2025-12-01,rewarded,309385,281493,1862,0.9098469544418766,0.9158653457666015,0.0027901828638058346,-0.0007670138757673861
2025-12-02,interstitial,950551,826014,11247,0.8689844100947766,0.8808164948540372,0.0009340910879528375,-0.0006872986709236528
2025-12-02,rewarded,308537,280859,2087,0.9102927687765162,0.9170569494096332,0.00044581433463963815,0.0011916036430317245
2025-12-03,interstitial,975398,846926,12506,0.8682876118261469,0.8811090447181561,-0.0006967982686296725,0.00029254986411886286
2025-12-03,rewarded,314483,286489,1997,0.9109840595517087,0.9173341643268476,0.0006912907751924768,0.0002772149172143301
2025-12-04,interstitial,991781,865386,13656,0.8725575505076222,0.8863267193059758,0.004269938681475294,0.005217674587819743
2025-12-04,rewarded,314667,286521,2090,0.9105530608548085,0.9171950029713951,-0.00043099869690021997,-0.000139161355452444
2025-12-05,interstitial,943547,823504,12842,0.8727747531389534,0.8863850979336483,0.00021720263133118145,5.837862767243962e-05
2025-12-05,rewarded,298501,271612,2311,0.9099198997658299,0.9176619173805113,-0.0006331610889785955,0.0004669144091161703
2025-12-06,interstitial,990445,860665,16542,0.8689679891361963,0.8856695727677963,-0.003806764002757035,-0.0007155251658519379
2025-12-06,rewarded,315005,286019,2933,0.9079824129775718,0.9172933762956144,-0.0019374867882581137,-0.00036854108489692283
2025-12-07,interstitial,1092251,956228,15091,0.8754654378892763,0.8892818592063546,0.006497448753080004,0.0036122864385582654
2025-12-07,rewarded,345613,315958,2558,0.9141959359167624,0.9215972778801723,0.006213522939190641,0.0043039015845579565
2025-12-08,interstitial,1100406,974923,17512,0.88596663413322,0.9018807603738984,0.010501196243943633,0.012598901167543808
2025-12-08,rewarded,350821,323319,3250,0.921606745320263,0.9308707289472409,0.0074108094035005845,0.009273451067068561
2025-12-09,interstitial,1089355,981103,14314,0.9006274355008239,0.9137673210294165,0.014660801367603948,0.011886560655518075
2025-12-09,rewarded,343690,320284,2555,0.9318979312752771,0.9393319561232506,0.010291185955014104,0.008461227176009722
2025-12-10,interstitial,1109078,1000446,15200,0.9020519747033121,0.9157570522542148,0.0014245392024881953,0.0019897312247982857
2025-12-10,rewarded,351190,327695,3008,0.9330988923374811,0.9416640564936359,0.00120096106220402,0.002332100370385337
2025-12-11,interstitial,1116727,1010327,13343,0.9047215657900275,0.9166698754485205,0.002669591086715384,0.0009128231943057452
2025-12-11,rewarded,350294,327228,3046,0.934152454795115,0.9428480076735543,0.0010535624576338831,0.0011839511799183189
2025-12-12,interstitial,1154156,1041366,16197,0.9022749091110733,0.9163085406132273,-0.002446656678954162,-0.0003613348352932144
2025-12-12,rewarded,355223,330581,4436,0.9306294918966396,0.9431174220137772,-0.0035229628984754235,0.00026941434022298427
2025-12-13,interstitial,1176248,1064330,16059,0.9048516979412505,0.9185044310383524,0.0025767888301772013,0.0021958904251251354
2025-12-13,rewarded,365380,340943,4008,0.9331189446603536,0.9440883463791122,0.0024894527637140396,0.0009709243653349686
2025-12-14,interstitial,1279035,1159400,14524,0.9064646393570153,0.9178200752911374,0.0016129414157647348,-0.0006843557472150374
2025-12-14,rewarded,401441,376302,3073,0.9373780954112808,0.9450330185506712,0.004259150750927199,0.0009446721715590245
