product,experiment_group,ad_format,network_name,trigger_pv,show_pv,impression_pv,display_failed_pv,show_rate,impression_rate,display_failed_total_pv,display_failed_share
screw_puzzle,have_is_adx,interstitial,APPLOVIN_EXCHANGE,589863,589339,549715,1118,0.9991116581307863,0.9327653523693494,613560,0.001822152682704218
screw_puzzle,have_is_adx,interstitial,LINE,13801,13792,12001,951,0.9993478733425114,0.8701421113689095,613560,0.001549970663015842
screw_puzzle,have_is_adx,interstitial,Liftoff_custom,138471,138341,111187,862,0.9990611752641347,0.8037169024367324,613560,0.001404915574678923
screw_puzzle,have_is_adx,interstitial,Google Ad Manager,206777,206602,194256,843,0.9991536776333925,0.9402425920368631,613560,0.0013739487580676705
screw_puzzle,have_is_adx,interstitial,Yandex,508386,507949,462930,637,0.9991404169272954,0.9113710234688915,613560,0.001038203272703566
screw_puzzle,have_is_adx,interstitial,BIGO Ads,262741,262493,239496,632,0.9990561046810357,0.912390044686906,613560,0.001030054110437447
screw_puzzle,have_is_adx,interstitial,Amazon Ad Marketplace,178349,178207,160843,579,0.9992038082635731,0.9025627500603232,613560,0.0009436729904165852
screw_puzzle,have_is_adx,interstitial,PubMatic,45691,45658,43128,113,0.9992777571075266,0.9445880240045557,613560,0.00018417106721429038
screw_puzzle,have_is_adx,interstitial,__NO_NETWORK__,23346820,0,0,0,0.0,,613560,0.0
screw_puzzle,no_is_adx,interstitial,Unity Ads,2860764,2857424,2198746,156657,0.9988324797152089,0.7694853826383484,593690,0.2638700331823005
screw_puzzle,no_is_adx,interstitial,Mintegral,1334493,1333521,1058500,96787,0.9992716334967662,0.793763277818647,593690,0.16302615843285218
screw_puzzle,no_is_adx,interstitial,MaticooCustomAdapter,291336,291195,189237,80842,0.999516022736634,0.6498634935352599,593690,0.13616870757466018
screw_puzzle,no_is_adx,interstitial,BidMachine,427902,427578,298523,77218,0.9992428172805923,0.6981720294308874,593690,0.13006451178224326
screw_puzzle,no_is_adx,interstitial,Google AdMob,8444277,8438435,8041574,28829,0.9993081704922754,0.9529698338613736,593690,0.048559012279135574
screw_puzzle,no_is_adx,interstitial,AppLovin,8046188,8039623,6956751,22688,0.9991840856813189,0.8653081120843602,593690,0.03821523017062777
screw_puzzle,no_is_adx,interstitial,ironSource,311402,310992,258327,20154,0.998683373902544,0.8306548078407162,593690,0.03394700938200071
screw_puzzle,no_is_adx,interstitial,Moloco,1590646,1588880,1393899,19657,0.9988897592550448,0.8772839987916017,593690,0.033109872155502026
screw_puzzle,no_is_adx,interstitial,InMobi,3039492,3036876,2779557,17626,0.9991393298617006,0.9152685193600265,593690,0.02968889487779818
screw_puzzle,no_is_adx,interstitial,Facebook,4611640,4608952,4260198,17372,0.9994171270957837,0.9243311711642908,593690,0.02926106217049302
screw_puzzle,no_is_adx,interstitial,Pangle,3985695,3982379,3679796,13124,0.9991680246481479,0.9240195370656585,593690,0.022105812797924843
screw_puzzle,no_is_adx,interstitial,DT Exchange,1667566,1665996,1501373,11145,0.9990585080290675,0.9011864374224188,593690,0.01877242331856693
screw_puzzle,no_is_adx,interstitial,Chartboost,95052,95012,77697,11094,0.9995791777132517,0.8177598619121795,593690,0.018686519900958414
screw_puzzle,no_is_adx,interstitial,Liftoff Monetize,1625967,1624546,1344274,8528,0.999126058523943,0.8274767227274574,593690,0.01436439892873385
screw_puzzle,no_is_adx,interstitial,Ogury,1148883,1148141,1049895,3254,0.9993541552969275,0.914430370485855,593690,0.00548097491957082
screw_puzzle,no_is_adx,interstitial,BIGO Ads,293353,293072,264656,2146,0.9990421096767376,0.9030408909755965,593690,0.0036146810625073693
screw_puzzle,no_is_adx,interstitial,APPLOVIN_EXCHANGE,657082,656407,612617,1326,0.99897273095291,0.9332883409226288,593690,0.002233488857821422
screw_puzzle,no_is_adx,interstitial,Yandex,550411,549910,503476,1108,0.9990897710983248,0.9155607281191468,593690,0.0018662938570634506
screw_puzzle,no_is_adx,interstitial,Amazon Ad Marketplace,224082,223791,203622,1088,0.998701368249123,0.9098757322680536,593690,0.001832606242315013
screw_puzzle,no_is_adx,interstitial,Liftoff_custom,165016,164850,135329,1040,0.9989940369418723,0.820922050348802,593690,0.0017517559669187623
screw_puzzle,no_is_adx,interstitial,LINE,15495,15466,12896,943,0.9981284285253308,0.8338290443553601,593690,0.0015883710353888393
screw_puzzle,no_is_adx,interstitial,Google Ad Manager,236668,236452,222444,725,0.9990873290854699,0.940757532184122,593690,0.0012211760346308679
screw_puzzle,no_is_adx,interstitial,IsAdxCustomAdapter,15627,15617,14003,239,0.9993600819095155,0.8966510853557021,593690,0.00040256699624383096
screw_puzzle,no_is_adx,interstitial,PubMatic,49782,49751,47120,100,0.9993772849624363,0.9471166408715402,593690,0.00016843807374218868
screw_puzzle,no_is_adx,interstitial,__NO_NETWORK__,22715086,0,0,0,0.0,,593690,0.0
screw_puzzle,have_is_adx,rewarded,Unity Ads,612950,612940,558449,21900,0.9999836854555837,0.9110989656410089,107112,0.2044588841586377
screw_puzzle,have_is_adx,rewarded,Facebook,1481996,1481942,1366820,17935,0.99996356265469,0.9223167978233966,107112,0.1674415565016058
screw_puzzle,have_is_adx,rewarded,IsAdxCustomAdapter,465766,465760,417704,15879,0.9999871179948729,0.8968223978014428,107112,0.14824669504817387
screw_puzzle,have_is_adx,rewarded,MaticooCustomAdapter,76652,76650,60304,12919,0.9999739080519752,0.7867449445531637,107112,0.12061206960938084
screw_puzzle,have_is_adx,rewarded,AppLovin,3979728,3979706,3618157,8331,0.999994471984015,0.9091518318187324,107112,0.07777840017925162
screw_puzzle,have_is_adx,rewarded,InMobi,512134,512121,493942,5645,0.9999746160184639,0.964502529675604,107112,0.05270184479796848
screw_puzzle,have_is_adx,rewarded,Google AdMob,2907995,2907962,2785416,4529,0.9999886519749862,0.9578584589482256,107112,0.04228284412577489
screw_puzzle,have_is_adx,rewarded,Moloco,468030,468018,416388,4187,0.9999743606179091,0.8896837301129443,107112,0.03908992456494137
screw_puzzle,have_is_adx,rewarded,Liftoff Monetize,605812,605805,525559,2980,0.9999884452602458,0.8675382342502951,107112,0.027821345880947045
screw_puzzle,have_is_adx,rewarded,Mintegral,191389,191384,170902,2404,0.9999738751965891,0.8929795594198052,107112,0.022443797146911644
screw_puzzle,have_is_adx,rewarded,ironSource,40050,40052,35205,1716,1.0000499375780274,0.8789823229801258,107112,0.016020613936813803
screw_puzzle,have_is_adx,rewarded,DT Exchange,225012,225008,215610,1467,0.9999822231703198,0.9582325961743583,107112,0.013695944431996414
screw_puzzle,have_is_adx,rewarded,Chartboost,19247,19245,17251,1391,0.9998960877019796,0.896388672382437,107112,0.012986406751811189
screw_puzzle,have_is_adx,rewarded,Liftoff_custom,58103,58102,49369,1241,0.9999827891847237,0.8496953633265636,107112,0.011586003435656135
screw_puzzle,have_is_adx,rewarded,Pangle,1010105,1010083,947254,1226,0.9999782200860307,0.9377981809415662,107112,0.01144596310404063
screw_puzzle,have_is_adx,rewarded,BidMachine,111385,111385,103699,724,1.0,0.930996094626745,107112,0.006759280005975054
