product,ad_format,experiment_group,network_name,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate
ios_screw_puzzle,rewarded,have_is_adx,InMobi,136807,135428,520,0.9899201064273027,0.9937210815236063
ios_screw_puzzle,rewarded,have_is_adx,Mintegral,205473,204641,297,0.9959508061886476,0.9973962515756328
ios_screw_puzzle,rewarded,have_is_adx,Ogury,51533,50972,272,0.9891137717579027,0.9943919430267983
ios_screw_puzzle,rewarded,have_is_adx,Facebook,354718,353662,256,0.9970229872743983,0.9977446873290896
ios_screw_puzzle,rewarded,have_is_adx,DT Exchange,174435,173772,174,0.9961991572792157,0.9971966635136297
ios_screw_puzzle,rewarded,have_is_adx,Chartboost,41871,41481,172,0.9906856774378449,0.9947935325165389
ios_screw_puzzle,rewarded,have_is_adx,Amazon Ad Marketplace,85744,77076,110,0.8989083784288113,0.9001912670274305
ios_screw_puzzle,rewarded,have_is_adx,AppLovin,6975573,6974317,74,0.9998199431071827,0.9998305515546895
ios_screw_puzzle,rewarded,have_is_adx,HyprMX,150820,150719,46,0.9993303275427662,0.9996353268797242
ios_screw_puzzle,rewarded,have_is_adx,Google Ad Manager,8544,8521,22,0.997308052434457,0.9998829588014981
ios_screw_puzzle,rewarded,have_is_adx,PubMatic,4828,4816,7,0.9975144987572494,0.9989643744821872
ios_screw_puzzle,rewarded,have_is_adx,BIGO Ads,18126,18119,5,0.9996138144102394,0.9998896612600684
ios_screw_puzzle,rewarded,have_is_adx,LINE,1306,848,1,0.6493108728943339,0.6500765696784073
ios_screw_puzzle,rewarded,have_is_adx,Pangle,713893,713529,1,0.9994901196677933,0.9994915204379368
ios_screw_puzzle,rewarded,have_is_adx,APPLOVIN_EXCHANGE,44092,44086,0,0.999863920892679,0.999863920892679
ios_screw_puzzle,rewarded,have_is_adx,Moloco,732793,732748,0,0.9999385911164544,0.9999385911164544
ios_screw_puzzle,rewarded,have_is_adx,TpAdxCustomAdapter,39,39,0,1.0,1.0
